icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EGOY,,RAF West Freugh,Wigtownshire,Scotland,GB,55,54.8511009216,-4.9477801323,Europe/London,
EGPA,KOI,Kirkwall Airport,Orkney Islands,Scotland,GB,50,58.9578018188,-2.9049999714,Europe/London,
EGPB,LSI,Sumburgh Airport,Lerwick,Scotland,GB,20,59.8788986206,-1.2955600023,Europe/London,
EGPC,WIC,Wick Airport,Wick,Scotland,GB,126,58.4589004517,-3.0930600166,Europe/London,
EGPD,ABZ,Aberdeen Dyce Airport,Aberdeen,Scotland,GB,215,57.2019004822,-2.1977798939,Europe/London,
EGPE,INV,Inverness Airport,Inverness,Scotland,GB,31,57.5424995422,-4.0475001335,Europe/London,
EGPF,GLA,Glasgow International Airport,Glasgow,Scotland,GB,26,55.8718986511,-4.4330601692,Europe/London,
EGPG,,Cumbernauld Airport,Cumbernauld,Scotland,GB,350,55.9747009277,-3.9755599499,Europe/London,
EGPH,EDI,Edinburgh Airport,Edinburgh,Scotland,GB,135,55.9500007629,-3.3724999428,Europe/London,
EGPI,ILY,Islay Airport,Port Ellen,Scotland,GB,56,55.6819000244,-6.2566699982,Europe/London,
EGPJ,,Fife Airport,,Scotland,GB,339,56.1833000183,-3.220279932,Europe/London,
EGPK,PIK,Glasgow Prestwick Airport,Glasgow,Scotland,GB,65,55.5093994141,-4.5866699219,Europe/London,
EGPL,BEB,Benbecula Airport,Balivanich,Scotland,GB,19,57.481098175,-7.3627800941,Europe/London,
EGPM,SCS,Scatsta Airport,Shetland Islands,Scotland,GB,81,60.432800293,-1.296110034,Europe/London,
EGPN,DND,Dundee Airport,Dundee,Scotland,GB,17,56.4524993896,-3.0258300304,Europe/London,
EGPO,SYY,Stornoway Airport,Stornoway,Scotland,GB,26,58.2155990601,-6.3311100006,Europe/London,
EGPR,BRR,Barra Airport,Eoligarry,Scotland,GB,5,57.0228004456,-7.4430599213,Europe/London,
EGPT,PSL,Perth/Scone Airport,Perth,Scotland,GB,397,56.439201355,-3.3722200394,Europe/London,
EGPU,TRE,Tiree Airport,Balemartine,Scotland,GB,38,56.4991989136,-6.8691701889,Europe/London,
EGPW,UNT,Unst Airport,Shetland Islands,Scotland,GB,0,60.7472000122,-0.8538500071,Europe/London,
EGPY,,Dounreay/Thurso Airport,Thurso,Scotland,GB,22,58.5839004517,-3.7269399166,Europe/London,
EGQB,BOL,Ballykelly Airport,Ballykelly,Northern Ireland,GB,85,55.0602989197,-7.0202798843,Europe/London,
EGQK,FSS,RAF Kinloss,Kinloss,Scotland,GB,22,57.6493988037,-3.5606400967,Europe/London,
EGQL,ADX,RAF Leuchars,St. Andrews,Scotland,GB,38,56.3728981018,-2.8684399128,Europe/London,
EGQS,LMO,RAF Lossiemouth,Lossiemouth,Scotland,GB,42,57.7052001953,-3.3391699791,Europe/London,
EGSA,,Shipdham Airfield,East Dereham,England,GB,210,52.6293983459,0.9280560017,Europe/London,
EGSC,CBG,Cambridge Airport,Cambridge,England,GB,47,52.2050018311,0.174999997,Europe/London,
EGSF,,Peterborough Business Airport,Conington,England,GB,26,52.4681015015,-0.2511110008,Europe/London,
EGSG,,Stapleford Aerodrome,Stapleford Tawney,England,GB,183,51.6525001526,0.1558330059,Europe/London,
EGSH,NWI,Norwich International Airport,Norwich,England,GB,117,52.6758003235,1.2827800512,Europe/London,
EGSI,,Mashland Airfield,Wisbech,England,GB,-6,52.6404853896,0.2918350697,Europe/London,
EGSJ,,Seething Airfield,Seething,England,GB,130,52.511100769,1.4172199965,Europe/London,
EGSL,,Andrewsfield Airport,Braintree,England,GB,286,51.8950004578,0.4491670132,Europe/London,
EGSM,,Beccles Airport,Beccles,England,GB,80,52.4352989197,1.6183300018,Europe/London,
EGSN,,Bourn Airport,Cambridge,,GB,226,52.2106018066,-0.0425000004,Europe/London,
EGSO,,Crowfield Airfield,Stowmarket,England,GB,201,52.1711006165,1.111109972,Europe/London,
EGSP,,Peterborough/Sibson Airport,Peterborough,England,GB,130,52.5558013916,-0.3863889873,Europe/London,
EGSQ,,Clacton Airport,Clacton-on-Sea,England,GB,37,51.7849998474,1.1299999952,Europe/London,
EGSR,,Earls Colne Airfield,Earles Colne,England,GB,226,51.9143981934,0.6825000048,Europe/London,
EGSS,STN,London Stansted Airport,London,England,GB,348,51.8849983215,0.2349999994,Europe/London,
EGST,,Elmsett Airport,Hadleigh,England,GB,246,52.0772018433,0.9775000215,Europe/London,
EGSU,QFO,Duxford Airport,Duxford,England,GB,125,52.090801239,0.1319440007,Europe/London,
EGSV,,Old Buckenham Airport,Old Buckenham,England,GB,185,52.4975013733,1.0519399643,Europe/London,
EGSW,,Newmarket Heath Airfield,Newmarket,,GB,100,52.2419013977,0.3705559969,Europe/London,
EGSX,,North Weald Airport,North Weald Bassett,England,GB,321,51.721698761,0.1541669965,Europe/London,
EGTA,,Aylesbury/Thame Airport,Aylesbury,,GB,289,51.7757987976,-0.9402779937,Europe/London,
EGTB,HYC,Wycombe Air Park,High Wycombe,England,GB,515,51.6116981506,-0.8083329797,Europe/London,
EGTC,,Cranfield Airport,Cranfield,England,GB,358,52.0722007751,-0.6166669726,Europe/London,
EGTD,,Dunsfold Aerodrome,Dunsfold,England,GB,172,51.1171989441,-0.5358330011,Europe/London,
EGTE,EXT,Exeter International Airport,Exeter,England,GB,102,50.7344017029,-3.4138898849,Europe/London,
EGTF,,Fairoaks Airport,Woking,England,GB,80,51.3480987549,-0.5588889718,Europe/London,
EGTG,FZO,Bristol Filton Airport,Bristol,England,GB,226,51.5194015503,-2.5908300877,Europe/London,
EGTH,,Old Warden Airfield,Old Warden,,GB,110,52.0834007263,-0.3166669905,Europe/London,
EGTK,OXF,Oxford (Kidlington) Airport,Kidlington,England,GB,270,51.8368988037,-1.3200000525,Europe/London,
EGTN,,Enstone Aerodrome,Oxfordshire,England,GB,550,51.9281666667,-1.4285,Europe/London,
EGTO,RCS,Rochester Airport,Rochester,England,GB,436,51.3518981934,0.5033329725,Europe/London,
EGTP,,Perranporth Airfield,Perranporth,England,GB,330,50.3316993713,-5.1774997711,Europe/London,
EGTR,,Elstree Airfield,Watford,England,GB,332,51.6557998657,-0.3258329928,Europe/London,
EGTU,,Dunkeswell Airport,Dunkeswell,England,GB,850,50.8600006104,-3.2347199917,Europe/London,
EGTW,,Oaksey Park Airport,Malmesbury,,GB,250,51.6321983337,-2.0147199631,Europe/London,
EGUB,BEX,RAF Benson,Benson,England,GB,226,51.6164016724,-1.0958299637,Europe/London,
EGUD,,RAF Abingdon,Abingdon,England,GB,259,51.6902999878,-1.316669941,Europe/London,
EGUK,,Waterbeach Airfield,Waterbeach,,GB,19,52.281742,0.184532,Europe/London,
EGUL,LKZ,RAF Lakenheath,Lakenheath,England,GB,32,52.4093017578,0.5609999895,Europe/London,
EGUN,MHZ,RAF Mildenhall,Mildenhall,England,GB,33,52.3619003296,0.4864059985,Europe/London,
EGUO,,Colerne Airport,Colerne,England,GB,593,51.4390983582,-2.2863900662,Europe/London,
EGUP,,RAF Sculthorpe,Fakeham,England,GB,213,52.846698761,0.7663890123,Europe/London,
EGUW,,RAF Wattisham,Stowmarket,England,GB,284,52.1273002625,0.956264019,Europe/London,
EGUY,QUY,RAF Wyton,St. Ives,England,GB,135,52.3572006226,-0.107832998,Europe/London,
EGVA,FFD,RAF Fairford,Fairford,England,GB,286,51.6822013855,-1.7900300026,Europe/London,
EGVN,BZZ,RAF Brize Norton,Brize Norton,England,GB,288,51.75,-1.5836199522,Europe/London,
EGVO,ODH,RAF Odiham,Odiham,England,GB,405,51.2341003418,-0.9428250194,Europe/London,
EGVP,,Middle Wallop Airfield,Middle Wallop,England,GB,297,51.1394004822,-1.5686099529,Europe/London,
EGVT,WXF,Wethersfield Airport,Wethersfield,England,GB,322,51.9719009399,0.5094439983,Europe/London,
EGWC,,DCAE Cosford Airport,Cosford,England,GB,272,52.6399993896,-2.3055799007,Europe/London,
EGWE,,RAF Henlow,Henlow,,GB,206,52.0181999207,-0.3038499951,Europe/London,
EGWN,,RAF Halton,Halton,,GB,370,51.7906990051,-0.7379720211,Europe/London,
EGWU,NHT,RAF Northolt,London,England,GB,124,51.5530014038,-0.418166995,Europe/London,
EGXC,QCY,RAF Coningsby,Coningsby,England,GB,25,53.0929985046,-0.1660140008,Europe/London,
EGXD,,RAF Dishforth,Dishforth,England,GB,117,54.1371994019,-1.4202500582,Europe/London,
EGXE,,Leeming Airport,Leeming,England,GB,132,54.2924003601,-1.535400033,Europe/London,
EGXG,,RAF Church Fenton,Church Fenton,England,GB,29,53.8343009949,-1.1955000162,Europe/London,
EGXH,BEQ,RAF Honington,Thetford,England,GB,174,52.3426017761,0.7729390264,Europe/London,
EGXJ,OKH,RAF Cottesmore,Cottesmore,England,GB,461,52.7356987,-0.648769021,Europe/London,
EGXP,SQZ,RAF Scampton,Scampton,England,GB,202,53.307800293,-0.5508329868,Europe/London,
EGXT,,RAF Wittering,Wittering,England,GB,273,52.6125984192,-0.4764530063,Europe/London,
EGXU,HRT,RAF Linton-On-Ouse,Linton-On-Ouse,England,GB,53,54.0489006042,-1.2527500391,Europe/London,
EGXV,,RAF Leconfield,Leconfield,England,GB,36,53.8758010864,-0.4350000024,Europe/London,
EGXW,WTN,RAF Waddington,Waddington,England,GB,231,53.1661987305,-0.5238109827,Europe/London,
EGXY,,RAF Syerston,Newark,,GB,228,53.0228004456,-0.9111109972,Europe/London,
EGXZ,,RAF Topcliffe,Topcliffe,England,GB,92,54.2055015564,-1.3820899725,Europe/London,
EGYD,,RAF Cranwell,Cranwell,England,GB,218,53.0303001404,-0.4832420051,Europe/London,
EGYE,,RAF Barkston Heath,Grantham,England,GB,367,52.9622001648,-0.5616250038,Europe/London,
EGYK,,Elvington Airfield,York,England,GB,48,53.9231444281,-0.9913444519,Europe/London,
EGYM,MRH,RAF Marham,Marham,England,GB,75,52.648399353,0.5506920218,Europe/London,
EHAL,,Ameland Airport,Ameland,Friesland,NL,11,53.4516983032,5.6772198677,Europe/Amsterdam,
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,North Holland,NL,-11,52.3086013794,4.7638897896,Europe/Amsterdam,
EHBD,,Budel Airport,Weert,North Brabant,NL,114,51.2552986145,5.601389885,Europe/Amsterdam,
EHBK,MST,Maastricht Aachen Airport,Maastricht,Limburg,NL,375,50.9117012024,5.7701401711,Europe/Amsterdam,
EHDL,QAR,Deelen Air Base,Arnhem,Gelderland,NL,158,52.0606002808,5.8730602264,Europe/Amsterdam,
EHDP,,De Peel Air Base,Venray,North Brabant,NL,98,51.5172996521,5.8557200432,Europe/Amsterdam,
EHDR,,Drachten Airport,Drachten,Friesland,NL,14,53.1192016602,6.129720211,Europe/Amsterdam,
EHDS,,Aero Club Salland,Lemelerveld,Overijssel,NL,10,52.4683333333,6.3333333333,Europe/Amsterdam,
EHEH,EIN,Eindhoven Airport,Eindhoven,North Brabant,NL,74,51.4500999451,5.3745298386,Europe/Amsterdam,
EHGG,GRQ,Eelde Airport,Groningen,Drenthe,NL,17,53.1197013855,6.5794401169,Europe/Amsterdam,
EHGR,GLZ,Gilze Rijen Air Base,Breda,North Brabant,NL,49,51.567401886,4.9318299294,Europe/Amsterdam,
EHHO,,Hoogeveen Airport,Hoogeveen,Drenthe,NL,40,52.7308006287,6.5161099434,Europe/Amsterdam,
EHHV,,Hilversum Airport,Hilversum,North Holland,NL,3,52.1918983459,5.1469402313,Europe/Amsterdam,
EHKD,DHR,De Kooy Airport,Den Helder,North Holland,NL,3,52.9234008789,4.7806200981,Europe/Amsterdam,
EHLE,LEY,Lelystad Airport,Lelystad,Flevoland,NL,-13,52.4603004456,5.5272197723,Europe/Amsterdam,
EHLW,LWR,Leeuwarden Air Base,Leeuwarden,Friesland,NL,3,53.2285995483,5.7605600357,Europe/Amsterdam,
EHMZ,,Midden-Zeeland Airport,Middelburg,Zeeland,NL,6,51.5121994019,3.731110096,Europe/Amsterdam,
EHOW,,Oostwold Airport,,Groningen,NL,3,53.2097583333,7.0365194444,Europe/Amsterdam,
EHRD,RTM,Rotterdam Airport,Rotterdam,South Holland,NL,-15,51.9569015503,4.4372200966,Europe/Amsterdam,
EHSE,,Seppe Airport,Hoeven,North Brabant,NL,30,51.5546989441,4.5524997711,Europe/Amsterdam,
EHST,,Stadskanaal Airport,Stadskanaal,Groningen,NL,14,52.9986000061,7.0227799416,Europe/Amsterdam,
EHTE,,Teuge Airport,Deventer,Gelderland,NL,17,52.2447013855,6.04666996,Europe/Amsterdam,
EHTL,,Terlet Airport,Terlet,Gelderland,NL,276,52.0572013855,5.9244399071,Europe/Amsterdam,
EHTW,ENS,Twenthe Airport,Enschede,Overijssel,NL,114,52.2700004578,6.8741698265,Europe/Amsterdam,
EHTX,,Texel Airport,Texel,North Holland,NL,2,53.1152992249,4.8336100578,Europe/Amsterdam,
EHVK,UDE,Volkel Air Base,Uden,North Brabant,NL,72,51.6563987732,5.7086100578,Europe/Amsterdam,
EHWO,WOE,Woensdrecht Air Base,Bergen Op Zoom,North Brabant,NL,63,51.4491004944,4.3420300484,Europe/Amsterdam,
EIAB,,Abbeyshrule Aerodrome,Abbeyshrule,Leinster,IE,195,53.5917015076,-7.6455597878,Europe/Dublin,
EIBA,,Ballyboughal Aerodrome,Fingal,Leinster,IE,180,53.5336990356,-6.2460699081,Europe/Dublin,
EIBB,,Brittas Bay Airport,Brittas Bay,Leinster,IE,50,52.8511009216,-6.0766401291,Europe/Dublin,
EIBN,BYT,Bantry Aerodrome,Bantry,Munster,IE,7,51.668598175,-9.48416996,Europe/Dublin,
EIBR,,Birr Aerodrome,Birr,Leinster,IE,250,53.0705986023,-7.8983302116,Europe/Dublin,
EIBT,BLY,Belmullet Aerodrome,Belmullet,Connaught,IE,150,54.2228012085,-10.0307998657,Europe/Dublin,
EICA,NNR,Connemara Regional Airport,Inverin,Connaught,IE,70,53.2303009033,-9.4677801132,Europe/Dublin,
EICB,CLB,Castlebar Airport,Castlebar,Connaught,IE,0,53.848400116,-9.2803697586,Europe/Dublin,
EICD,WEX,Castlebridge Airport,Wexford,Leinster,IE,79,52.3333320618,-6.4666671753,Europe/Dublin,
EICK,ORK,Cork Airport,Cork,Munster,IE,502,51.8413009644,-8.491109848,Europe/Dublin,
EICL,,Clonbullogue Aerodrome,Clonbullogue,Leinster,IE,240,53.2496566772,-7.1227455139,Europe/Dublin,
EICM,GWY,Galway Airport,Galway,Connaught,IE,81,53.300201416,-8.9415903091,Europe/Dublin,
EICN,,Coonagh Aerodrome,Limerick,Munster,IE,6,52.6665000916,-8.6818304062,Europe/Dublin,
EICS,,Castleforbes Airport,Castleforbes,Leinster,IE,150,53.778301239,-7.8352799416,Europe/Dublin,
EIDL,CFN,Donegal Airport,Donegal,Ulster,IE,30,55.0442008972,-8.3409996033,Europe/Dublin,
EIDW,DUB,Dublin Airport,Dublin,Leinster,IE,242,53.4212989807,-6.270070076,Europe/Dublin,
EIER,,Erinagh Airport,Nenagh,Munster,IE,155,52.8125,-8.2822217941,Europe/Dublin,
EIGN,,Gowran Grange Aerodrome,Swordlestown,Leinster,IE,489,53.1786003113,-6.6352801323,Europe/Dublin,
EIHN,,Hacketstown Aerodrome,Hacketstown,Leinster,IE,610,52.8549995422,-6.5472202301,Europe/Dublin,
EIIM,IOR,Inishmore Aerodrome,Inis Mor,Connaught,IE,24,53.1067008972,-9.6536102295,Europe/Dublin,
EIIR,INQ,Inisheer Aerodrome,Inis Oirr,Connaught,IE,40,53.0647010803,-9.5108995438,Europe/Dublin,
EIKH,,Kildare Aerodrome,Kilrush,Leinster,IE,260,53.0635986328,-6.8552799225,Europe/Dublin,
EIKI,,Killenaule Airport,Killenaule,Munster,IE,680,52.6329994202,-7.632999897,Europe/Dublin,
EIKK,KKY,Kilkenny Airport,Kilkenny,Leinster,IE,319,52.6507987976,-7.2961101532,Europe/Dublin,
EIKN,NOC,Ireland West Knock Airport,Charleston,Connaught,IE,665,53.9103012085,-8.8184900284,Europe/Dublin,
EIKY,KIR,Kerry Airport,Killarney,Munster,IE,112,52.1809005737,-9.5237798691,Europe/Dublin,
EILT,LTR,Letterkenny Airport,Letterkenny,Ulster,IE,20,54.9513015747,-7.6728301048,Europe/Dublin,
EIME,,Casement Air Base,Baldonnel,Leinster,IE,319,53.301700592,-6.4513301849,Europe/Dublin,
EIMG,,Moneygall Aerodrome,Moneygall,Munster,IE,450,52.8499984741,-7.9829998016,Europe/Dublin,
EIMH,,Athboy Airport,Athboy,Leinster,IE,230,53.6377792358,-6.8786110878,Europe/Dublin,
EIMN,IIA,Inishmaan Aerodrome,Inis Meain,Connaught,IE,15,53.0929985046,-9.5680599213,Europe/Dublin,
EIMY,,Moyne Aerodrome,Thurles,Munster,IE,400,52.7030982971,-7.7052798271,Europe/Dublin,
EINC,,Newcastle Aerodrome,Newcastle,Leinster,IE,1,53.0710983276,-6.0452799797,Europe/Dublin,
EINN,SNN,Shannon Airport,Shannon,Munster,IE,46,52.7019996643,-8.9248199463,Europe/Dublin,
EIPT,,Powerscourt Airfield,Powerscourt,Leinster,IE,470,53.178301,-6.196495,Europe/Dublin,
EIRT,,Rathcoole Aerodrome,Rathcoole,Munster,IE,281,52.1055984497,-8.9833297729,Europe/Dublin,
EISG,SXL,Sligo Airport,Sligo,Connaught,IE,11,54.2802009583,-8.5992097855,Europe/Dublin,
EISP,,Spanish Point Airport,Spanish Point,Munster,IE,0,52.8497009277,-9.4169998169,Europe/Dublin,
EITM,,Trim Aerodrome,Trim,Leinster,IE,200,53.5746994019,-6.7386097908,Europe/Dublin,
EITT,,Trevet Airfield,Dunshaughlin,Leinster,IE,385,53.5486106873,-6.5169439316,Europe/Dublin,
EIWF,WAT,Waterford Airport,Waterford,Munster,IE,119,52.1871986389,-7.0869598389,Europe/Dublin,
EIWT,,Weston Airport,Leixlip,Leinster,IE,150,53.3521995544,-6.4861102104,Europe/Dublin,
EKAE,,AEro Airport,AEro,South Denmark,DK,3,54.8527984619,10.4563999176,Europe/Copenhagen,
EKAH,AAR,Aarhus Airport,Aarhus,Central Jutland,DK,82,56.2999992371,10.6190004349,Europe/Copenhagen,
EKAT,,Anholt Airport,Anholt,Central Jutland,DK,23,56.6988983154,11.5558996201,Europe/Copenhagen,
EKAV,,Avno Air Base,Avno,Zealand,DK,13,55.0830001831,11.7829999924,Europe/Copenhagen,
EKBI,BLL,Billund Airport,Billund,South Denmark,DK,247,55.7402992249,9.1517801285,Europe/Copenhagen,
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.6179008484,12.6560001373,Europe/Copenhagen,
EKEB,EBJ,Esbjerg Airport,Esbjerg,South Denmark,DK,97,55.5259017944,8.5534000397,Europe/Copenhagen,
EKEL,,Endelave West Airport,Endelave,Central Jutland,DK,15,55.7565002441,10.2484998703,Europe/Copenhagen,
EKFM,,Femø Airfield,Femø,Zealand,DK,2,54.9841151907,11.5376615524,Europe/Copenhagen,
EKFU,,Fur Airport,Fur,Central Jutland,DK,30,56.8244018555,8.9861097336,Europe/Copenhagen,
EKGH,,Gronholt Hillerod Airport,Gronholt,Capital-Region,DK,97,55.9413986206,12.3822002411,Europe/Copenhagen,
EKGR,,Grenaa Airport,Grenaa,Central Jutland,DK,20,56.4425010681,10.9306001663,Europe/Copenhagen,
EKHG,,Herning Airport,Herning,Central Jutland,DK,167,56.1847000122,9.0444498062,Europe/Copenhagen,
EKHK,,Holbaek (Ny Hagested) Airport,Holbaek,Zealand,DK,2,55.73279953,11.6028003693,Europe/Copenhagen,
EKHO,,Lindtorp Airport,Holstebro,Central Jutland,DK,49,56.3967018127,8.4419403076,Europe/Copenhagen,
EKHS,,Hadsund Airport,Hadsund,North Denmark,DK,8,56.7559242249,10.2288293839,Europe/Copenhagen,
EKHV,,Haderslev Airport,Haderslev,South Denmark,DK,81,55.3022003174,9.5225000381,Europe/Copenhagen,
EKKA,KRP,Karup Airport,Karup,Central Jutland,DK,170,56.2975006104,9.1246299744,Europe/Copenhagen,
EKKL,,Kalundborg Airport,Kalundborg,Zealand,DK,1,55.7002983093,11.25,Europe/Copenhagen,
EKKO,,Korsor Airport,Korsor,Zealand,DK,39,55.3368988037,11.2417001724,Europe/Copenhagen,
EKLS,BYR,Laeso Airport,Laeso,North Denmark,DK,25,57.2771987915,11.0001001358,Europe/Copenhagen,
EKLV,,Lemvig Airport,Lemvig,Central Jutland,DK,97,56.5029983521,8.3113298416,Europe/Copenhagen,
EKMB,MRW,Lolland Falster Maribo Airport,Lolland Falster / Maribo,Zealand,DK,16,54.6992988586,11.4400997162,Europe/Copenhagen,
EKMN,,Kostervig Mon Airport,Koster,Zealand,DK,3,54.9646987915,12.1943998337,Europe/Copenhagen,
EKNM,,Morso Airport Todso,Morso,North Denmark,DK,53,56.8244018555,8.7866697311,Europe/Copenhagen,
EKNS,,Nakskov Airport,Naksnov,Zealand,DK,3,54.817199707,11.1308002472,Europe/Copenhagen,
EKOD,ODE,Odense Airport,Odense,South Denmark,DK,56,55.4766998291,10.3309001923,Europe/Copenhagen,
EKPB,,Krusa-Padborg Airport,Krusa / Padborg,South Denmark,DK,88,54.870300293,9.279009819,Europe/Copenhagen,
EKRA,,Rarup Airport,Rarup,Central Jutland,DK,131,55.7785987854,9.9388904572,Europe/Copenhagen,
EKRD,,Randers Airport,Randers,Central Jutland,DK,139,56.5065994263,10.0363998413,Europe/Copenhagen,
EKRK,RKE,Copenhagen Roskilde Airport,Copenhagen,Zealand,DK,146,55.5856018066,12.1314001083,Europe/Copenhagen,
EKRN,RNN,Bornholm Airport,Ronne,Capital-Region,DK,52,55.0633010864,14.7595996857,Europe/Copenhagen,
EKRS,,Ringsted Airport,Ringsted,Zealand,DK,113,55.4258003235,11.8066997528,Europe/Copenhagen,
EKSA,,Saeby (Ottestrup) Airport,Saeby,North Denmark,DK,110,57.346698761,10.406999588,Europe/Copenhagen,
EKSB,SGD,Sonderborg Airport,Sonderborg,South Denmark,DK,24,54.9644012451,9.7917299271,Europe/Copenhagen,
EKSD,,Spjald Airport,Spjald,Central Jutland,DK,249,56.1026992798,8.5142297745,Europe/Copenhagen,
EKSN,CNL,Sindal Airport,Sindal,North Denmark,DK,92,57.5035018921,10.2293996811,Europe/Copenhagen,
EKSP,SKS,Vojens Skrydstrup Airport,Vojens,South Denmark,DK,141,55.2256011963,9.2639303207,Europe/Copenhagen,
EKSS,,Samso Airport,Samso,Central Jutland,DK,1,55.8894996643,10.613699913,Europe/Copenhagen,
EKST,,Sydfy (Tasinge) Airport,Tasinge,South Denmark,DK,7,55.0166015625,10.5633001328,Europe/Copenhagen,
EKSV,SQW,Skive Airport,Skive,Central Jutland,DK,74,56.550201416,9.1729803085,Europe/Copenhagen,
EKTD,,Tonder Airport,Tonder,South Denmark,DK,1,54.9296989441,8.8405704498,Europe/Copenhagen,
EKTS,TED,Thisted Airport,Thisted,North Denmark,DK,23,57.0688018799,8.7052202225,Europe/Copenhagen,
EKVA,,Vandel Air Base,Vandel,South Denmark,DK,250,55.7010002136,9.2135801315,Europe/Copenhagen,
EKVB,,Viborg Airport,Viborg,Central Jutland,DK,75,56.4099998474,9.4090995789,Europe/Copenhagen,
EKVD,,Kolding Vamdrup Airport,Kolding / Vamdrup,South Denmark,DK,143,55.4362983704,9.3309202194,Europe/Copenhagen,
EKVH,,Aars Airport,Aars,North Denmark,DK,119,56.8469009399,9.458609581,Europe/Copenhagen,
EKVJ,STA,Stauning Airport,Skjern / Ringkobing,Central Jutland,DK,17,55.9901008606,8.3539104462,Europe/Copenhagen,
EKYT,AAL,Aalborg Airport,Aalborg,North Denmark,DK,10,57.0927589138,9.8492431641,Europe/Copenhagen,
ELLX,LUX,Luxembourg-Findel International Airport,Luxembourg,Luxembourg,LU,1234,49.6265983582,6.211520195,Europe/Luxembourg,
ELNT,,Noertrange Airport,Winseler,Wiltz,LU,1522,49.981098175,5.9177799225,Europe/Luxembourg,
ELUS,,Useldange Airfield,Useldange,Redange,LU,928,49.7686004639,5.9655599594,Europe/Luxembourg,
ENAE,,AEra Airfield,Amot,Hedmark,NO,1621,61.2574005127,11.6688995361,Europe/Oslo,
ENAL,AES,Alesund Airport,Alesund,More-og-Romsdal,NO,69,62.5625,6.119699955,Europe/Oslo,
ENAN,ANX,Andoya Airport,Andenes,Nordland,NO,43,69.2925033569,16.1441993713,Europe/Oslo,
ENAT,ALF,Alta Airport,Alta,Finnmark,NO,9,69.9760971069,23.3717002869,Europe/Oslo,
ENBL,FDE,Bringeland Airport,Forde,Sogn-og-Fjordane,NO,1046,61.3911018372,5.756939888,Europe/Oslo,
ENBM,,Bomoen Airport,Tjukkebygdi,Hordaland,NO,300,60.6389007568,6.5015001297,Europe/Oslo,
ENBN,BNN,Bronnoysund Airport,Bronnoy,Nordland,NO,25,65.4610977173,12.217499733,Europe/Oslo,
ENBO,BOO,Bodo Airport,Bodo,Nordland,NO,42,67.269203186,14.3653001785,Europe/Oslo,
ENBR,BGO,Bergen Airport Flesland,Bergen,Hordaland,NO,170,60.2933998108,5.2181401253,Europe/Oslo,
ENBS,BJF,Batsfjord Airport,Batsfjord,Finnmark,NO,490,70.6005020142,29.691400528,Europe/Oslo,
ENBV,BVG,Berlevag Airport,Berlevag,Finnmark,NO,42,70.8713989258,29.0342006683,Europe/Oslo,
ENCN,KRS,Kristiansand Airport,Kjevik,Vest-Agder,NO,57,58.2042007446,8.0853700638,Europe/Oslo,
ENDI,DLD,Geilo Airport Dagali,Dagali,Buskerud,NO,2618,60.417301178,8.5183496475,Europe/Oslo,
ENDO,,Dokka Thomlevold Airport,Dokka,Oppland,NO,512,60.8333015442,9.9166698456,Europe/Oslo,
ENDU,BDU,Bardufoss Airport,Malselv,Troms,NO,252,69.0558013916,18.5403995514,Europe/Oslo,
ENEG,,Eggemoen Airport,Honefoss,Buskerud,NO,656,60.217300415,10.3239002228,Europe/Oslo,
ENEV,EVE,Harstad/Narvik Airport Evenes,Evenes,Nordland,NO,84,68.4913024902,16.6781005859,Europe/Oslo,
ENFA,,Flatval Airport,Froya,Sor-Trondelag,NO,152,63.7005996704,8.7605695724,Europe/Oslo,
ENFG,VDB,Leirin Airport,,Oppland,NO,2697,61.0155982971,9.2880601883,Europe/Oslo,
ENFL,FRO,Floro Airport,Floro,Sogn-og-Fjordane,NO,37,61.5835990906,5.024720192,Europe/Oslo,
ENFY,,Fyresdal Airfield,Fyresdal,Telemark,NO,986,59.2000007629,8.0866699219,Europe/Oslo,
ENGK,,Gullknapp Flpl Airport,,Aust-Agder,NO,390,58.5167007446,8.6999998093,Europe/Oslo,
ENGM,OSL,Oslo Gardermoen Airport,Oslo,Akershus,NO,681,60.193901062,11.100399971,Europe/Oslo,
ENGN,,Folldal Grimsmoe Airport,Folldal,Hedmark,NO,2260,62.1175003052,10.1107997894,Europe/Oslo,
ENGS,,Snasa Airfield Gronora,Snasa,Nord-Trondelag,NO,89,64.1835861206,12.1714782715,Europe/Oslo,
ENHA,HMR,Stafsberg Airport,Hamar,Hedmark,NO,713,60.8180999756,11.0679998398,Europe/Oslo,
ENHD,HAU,Haugesund Airport,Karmoy,Rogaland,NO,86,59.3452987671,5.2083601952,Europe/Oslo,
ENHF,HFT,Hammerfest Airport,Hammerfest,Finnmark,NO,266,70.6797027588,23.6686000824,Europe/Oslo,
ENHK,HAA,Hasvik Airport,Hasvik,Finnmark,NO,21,70.4867019653,22.1396999359,Europe/Oslo,
ENHN,,Elverum Starmoen Airport,,Hedmark,NO,659,60.8800010681,11.6731004715,Europe/Oslo,
ENHS,,Hokksund Airfield,,Buskerud,NO,30,59.7668991089,9.9113903046,Europe/Oslo,
